LeftPupilPoints,RightPupilPoints,LeftPupilPoints-X,LeftPupilPoints-Y,RightPupilPoints-X,RightPupilPoints-Y
"-25.71,-10.86","-29.18,-13.21",-25.71,-10.86,-29.18,-13.21
"-25.65,-10.45","-29.16,-13.09",-25.65,-10.45,-29.16,-13.09
"-25.64,-10.20","-28.22,-13.16",-25.64,-10.2,-28.22,-13.16
"-24.13,-9.45","8.67,-6.17",-24.13,-9.45,8.67,-6.17
"20.12,0.46","26.83,-11.22",20.12,0.46,26.83,-11.22
"30.97,4.08","27.61,-9.27",30.97,4.08,27.61,-9.27
"28.37,5.86","28.43,-8.69",28.37,5.86,28.43,-8.69
"27.33,6.80","28.94,-8.27",27.33,6.8,28.94,-8.27
"27.72,6.80","29.09,-8.38",27.72,6.8,29.09,-8.38
"27.36,5.98","30.98,-8.43",27.36,5.98,30.98,-8.43
"29.53,7.60","30.92,-8.01",29.53,7.6,30.92,-8.01
"29.03,7.71","30.87,-7.51",29.03,7.71,30.87,-7.51
"34.22,1.56","31.01,-7.48",34.22,1.56,31.01,-7.48
"28.51,8.06","31.20,-7.32",28.51,8.06,31.2,-7.32
"28.65,8.27","31.14,-7.28",28.65,8.27,31.14,-7.28
